id,uri,dataInicio,dataFim,data_captura
15,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/15,1872-11-13,1876-11-12,2026-06-01 00:05:33
14,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/14,1869-04-15,1872-05-22,2026-06-01 00:05:33
13,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/13,1867-04-15,1868-07-18,2026-06-01 00:05:33
12,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/12,1863-12-14,1867-04-14,2026-06-01 00:05:33
11,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/11,1861-04-15,1863-05-12,2026-06-01 00:05:33
10,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/10,1857-04-15,1861-04-14,2026-06-01 00:05:33
9,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/9,1853-04-15,1857-04-14,2026-06-01 00:05:33
8,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/8,1849-12-15,1853-04-14,2026-06-01 00:05:33
7,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/7,1848-04-25,1849-02-19,2026-06-01 00:05:33
6,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/6,1844-12-24,1848-04-24,2026-06-01 00:05:33
5,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/5,1842-04-25,1844-05-24,2026-06-01 00:05:33
4,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/4,1838-04-25,1842-04-24,2026-06-01 00:05:33
3,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/3,1834-04-25,1838-04-24,2026-06-01 00:05:33
2,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/2,1830-04-25,1834-04-24,2026-06-01 00:05:33
1,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/LEGISLATURAS/1,1826-04-29,1830-04-24,2026-06-01 00:05:33
