id,uri,titulo,idLegislatura,data_captura
55649,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55649,FRENTE PARLAMENTAR MISTA PELA VALORIZAÇÃO DO SERVIÇO SOCIAL,57,2026-06-01 00:27:01
55670,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55670,FRENTE PARLAMENTAR MISTA PELA DEMOCRATIZAÇÃO DO CRÉDITO E SERVIÇOS FINANCEIROS,57,2026-06-01 00:27:01
55653,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55653,FRENTE PARLAMENTAR MISTA DOS CORRESPONDENTES BANCÁRIOS,57,2026-06-01 00:27:01
55667,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55667,FRENTE PARLAMENTAR DE REPRESENTAÇÃO DOS IMPORTADORES E COMÉRCIO INTERNACIONAL,57,2026-06-01 00:27:01
55637,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55637,FRENTE PARLAMENTAR DA INFLUÊNCIA DIGITAL (FRENID),57,2026-06-01 00:27:01
55605,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55605,FRENTE PARLAMENTAR MISTA DA ENERGIA LIMPA,57,2026-06-01 00:27:01
55655,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55655,FRENTE PARLAMENTAR BRASIL - ASEAN,57,2026-06-01 00:27:01
55669,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55669,FRENTE PARLAMENTAR MISTA DO JOGO RESPONSÁVEL,57,2026-06-01 00:27:01
55656,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55656,FRENTE PARLAMENTAR EM DEFESA DA ENFERMAGEM,57,2026-06-01 00:27:01
55660,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55660,FRENTE PARLAMENTAR DE COMBATE À LUDOPATIA E DE PROTEÇÃO DE CRIANÇAS E ADOLESCENTES CONTRA OS RISCOS DAS APOSTAS E JOGOS DE AZAR.,57,2026-06-01 00:27:01
55641,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55641,FRENTE PARLAMENTAR CONSERVADORA EM DEFESA DA LIBERDADE,57,2026-06-01 00:27:01
55638,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55638,FRENTE PARLAMENTAR MISTA DA CAUSA QESA,57,2026-06-01 00:27:01
55652,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55652,FRENTE PARLAMENTAR MISTA EM DEFESA DAS ORGANIZAÇÕES DA SOCIEDADE CIVIL,57,2026-06-01 00:27:01
55647,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55647,"FRENTE PARLAMENTAR BRASIL-AMÉRICA LATINA, CARIBE E ÁFRICA.",57,2026-06-01 00:27:01
55651,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55651,FRENTE PARLAMENTAR ESG NA PRÁTICA DO CONGRESSO NACIONAL (FPESG),57,2026-06-01 00:27:01
55650,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55650,FRENTE PARLAMENTAR EM DEFESA DAS BACIAS HIDROGRÁFICAS BRASILEIRAS,57,2026-06-01 00:27:01
55628,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55628,FRENTE PARLAMENTAR EM DEFESA DAS VÍTIMAS DE ACIDENTES DE TRÂNSITO,57,2026-06-01 00:27:01
55640,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55640,FRENTE PARLAMENTAR MISTA DO COOPERATIVISMO DE SEGUROS E DO MUTUALISMO DE PROTEÇÃO PATRIMONIAL - FREPAM,57,2026-06-01 00:27:01
55634,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55634,FRENTE PARLAMENTAR EM DEFESA DAS UNIVERSIDADES PÚBLICAS,57,2026-06-01 00:27:01
55639,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55639,FRENTE PARLAMENTAR EM DEFESA DA LIBERDADE DE EXPRESSÃO - FPDLE,57,2026-06-01 00:27:01
55622,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55622,FRENTE PARLAMENTAR EM DEFESA DO BENEFÍCIO DE PRESTAÇÃO CONTINUADA (BPC),57,2026-06-01 00:27:01
55625,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55625,FRENTE PARLAMENTAR EM DEFESA DAS PESSOAS COM DOENÇAS REUMÁTICAS,57,2026-06-01 00:27:01
55629,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55629,FRENTE PARLAMENTAR EM DEFESA DOS PROFISSIONAIS DO SISTEMA SOCIOEDUCATIVO,57,2026-06-01 00:27:01
55636,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55636,FRENTE PARLAMENTAR MISTA PARA A DEFESA E VALORIZAÇÃO DAS POLÍCIAS INSTITUCIONAIS,57,2026-06-01 00:27:01
55614,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55614,FRENTE PARLAMENTAR MISTA EM DEFESA E APOIO AOS DESPACHANTES DOCUMENTALISTAS DO BRASIL,57,2026-06-01 00:27:01
55604,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55604,FRENTE PARLAMENTAR MISTA EM APOIO AO ACOLHIMENTO HUMANITÁRIO DE MIGRANTES TRANSNACIONAIS E REFUGIADOS,57,2026-06-01 00:27:01
55619,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55619,"FRENTE PARLAMENTAR EM DEFESA DO LIVRO, DA LEITURA E DA ESCRITA",57,2026-06-01 00:27:01
55621,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55621,FRENTE PARLAMENTAR MISTA EM DEFESA DO EMPREENDEDORISMO RURAL,57,2026-06-01 00:27:01
55607,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55607,FRENTE PARLAMENTAR DA NEURODIVERSIDADE,57,2026-06-01 00:27:01
55582,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55582,FRENTE PARLAMENTAR MISTA EM DEFESA DO SISTEMA NACIONAL DE AUDITORIA DO SUS,57,2026-06-01 00:27:01
54486,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/54486,FRENTE PARLAMENTAR DA MINERAÇÃO E CONSTRUÇÃO CIVIL,57,2026-06-01 00:27:01
55603,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55603,FRENTE PARLAMENTAR EM DEFESA DOS PROFISSIONAIS DA DANÇA,57,2026-06-01 00:27:01
55594,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55594,"FRENTE PARLAMENTAR MISTA DE FISCALIZAÇÃO, INTEGRIDADE E TRANSPARÊNCIA - FIT",57,2026-06-01 00:27:01
54561,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/54561,FRENTE PARLAMENTAR MISTA EM DEFESA DO SERVIÇO PÚBLICO,57,2026-06-01 00:27:01
55601,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55601,FRENTE PARLAMENTAR MISTA EM DEFESA DA PROPRIEDADE INTELECTUAL E COMBATE À PIRATARIA,57,2026-06-01 00:27:01
55597,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55597,FRENTE PARLAMENTAR DA LONGEVIDADE,57,2026-06-01 00:27:01
55587,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55587,FRENTE PARLAMENTAR MISTA EM DEFESA DA EXPLORAÇÃO DE PETRÓLEO NA MARGEM EQUATORIAL DO BRASIL,57,2026-06-01 00:27:01
55599,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55599,FRENTE PARLAMENTAR POR DOENÇAS CRÔNICAS DE PELE,57,2026-06-01 00:27:01
55598,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55598,FRENTE PARLAMENTAR EM PROL DOS JOGOS ELETRÔNICOS E GAMES,57,2026-06-01 00:27:01
55575,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55575,FRENTE PARLAMENTAR MISTA DE APOIO AO SISTEMA NACIONAL DE FOMENTO PARA O FINANCIAMENTO DO DESENVOLVIMENTO,57,2026-06-01 00:27:01
55589,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55589,FRENTE PARLAMENTAR SOBRE O LIMITE DOS JUROS E A AUDITORIA INTEGRAL DA DÍVIDA PÚBLICA COM A PARTICIPAÇÃO POPULAR,57,2026-06-01 00:27:01
55588,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55588,FRENTE PARLAMENTAR EM DEFESA DA SOBERANIA NACIONAL,57,2026-06-01 00:27:01
55573,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55573,FRENTE PARLAMENTAR EM DEFESA DA ARTE E CULTURA PERIFÉRICA,57,2026-06-01 00:27:01
55581,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55581,FRENTE PARLAMENTAR MISTA PELO FORTALECIMENTO DAS RELAÇÕES COMERCIAIS BRASIL-TEXAS,57,2026-06-01 00:27:01
55584,HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/FRENTES/55584,FRENTE PARLAMENTAR MISTA DA HOTELARIA BRASILEIRA,57,2026-06-01 00:27:01
