id,uri,sigla,nome,apelido,codTipoOrgao,tipoOrgao,nomePublicacao,nomeResumido,data_captura
100597,https://dadosabertos.camara.leg.br/api/v2/orgaos/100597,MPV40807,"Abre crédito extraordinário, em favor de diversos órgãos do Poder Executivo, no valor global de R$ 3.015.446.182,00, para os fins que especifica.",MPV40807,9,Comissão Medida Provisória,MPV40807,,2026-06-01 00:27:13
100598,https://dadosabertos.camara.leg.br/api/v2/orgaos/100598,MPV40907,"Abre crédito extraordinário, em favor de diversos órgãos do Poder Executivo, no valor global de R$ 750.465.000,00, para os fins que especifica.",MPV40907,9,Comissão Medida Provisória,MPV40907,,2026-06-01 00:27:13
100599,https://dadosabertos.camara.leg.br/api/v2/orgaos/100599,MPV41007,"Acrescenta artigo à Lei no 5.889, de 8 de junho de 1973, criando o contrato de trabalhador rural por pequeno prazo, estabelece normas transitórias sobre a aposentadoria do trabalhador rural e prorroga o prazo de contratação de financiamentos rurais de que trata o § 6o do art. 1o da Lei no 11.524, de 24 de setembro de 2007.",MPV41007,9,Comissão Medida Provisória,MPV41007,,2026-06-01 00:27:13
100600,https://dadosabertos.camara.leg.br/api/v2/orgaos/100600,MPV41107,"Dispõe sobre o Programa Nacional de Inclusão de Jovens - ProJovem, instituído pela Lei no 11.129, de 30 de junho de 2005, altera a Lei no 10.836, de 9 de janeiro de 2004, e dá outras providências.",MPV41107,9,Comissão Medida Provisória,MPV41107,,2026-06-01 00:27:13
100601,https://dadosabertos.camara.leg.br/api/v2/orgaos/100601,MPV41207,"Dispõe sobre a prorrogação do Regime Tributário para Incentivo à Modernização e à Ampliação da Estrutura Portuária - REPORTO, instituído pela Lei no 11.033, de 21 de dezembro de 2004 .",MPV41207,9,Comissão Medida Provisória,MPV41207,,2026-06-01 00:27:13
100602,https://dadosabertos.camara.leg.br/api/v2/orgaos/100602,MPV41308,"Dispõe sobre medidas tributárias destinadas a estimular os investimentos e a modernização do setor de turismo, a reforçar o sistema de proteção tarifária brasileiro, a estabelecer a incidência de forma concentrada da Contribuição para o PIS/PASEP e da Contribuição para o Financiamento da Seguridade Social - COFINS na produção e comercialização de álcool, altera o art. 3o da Lei no 7.689, de 15 de dezembro de 1988, e dá outras providências.",MPV41308,9,Comissão Medida Provisória,MPV41308,,2026-06-01 00:27:13
100603,https://dadosabertos.camara.leg.br/api/v2/orgaos/100603,MPV41408,Constitui fonte de recursos adicional para ampliação de limites operacionais do Banco Nacional de Desenvolvimento Econômico e Social - BNDES.,MPV41408,9,Comissão Medida Provisória,MPV41408,,2026-06-01 00:27:13
100604,https://dadosabertos.camara.leg.br/api/v2/orgaos/100604,MPV41508,"Proíbe a comercialização de bebidas alcoólicas em rodovias federais e acresce dispositivo à Lei no 9.503, de 23 de setembro de 1997 - Código de Trânsito Brasileiro.",MPV41508,9,Comissão Medida Provisória,MPV41508,,2026-06-01 00:27:13
100605,https://dadosabertos.camara.leg.br/api/v2/orgaos/100605,MPV41608,"Altera a Lei no 11.530, de 24 de outubro de 2007, que institui o Programa Nacional de Segurança Pública com Cidadania - PRONASCI, e dá outras providências.",MPV41608,9,Comissão Medida Provisória,MPV41608,,2026-06-01 00:27:13
100606,https://dadosabertos.camara.leg.br/api/v2/orgaos/100606,MPV41708,"Altera e acresce dispositivos à Lei no 10.826, de 22 de dezembro de 2003, que dispõe sobre registro, posse e comercialização de armas de fogo e munição, sobre o Sistema Nacional de Armas - Sinarm e define crimes",MPV41708,9,Comissão Medida Provisória,MPV41708,,2026-06-01 00:27:13
100611,https://dadosabertos.camara.leg.br/api/v2/orgaos/100611,MPV41808,"Altera as Leis nos 11.508, de 20 de julho de 2007, que dispõe sobre o regime tributário, cambial e administrativo das Zonas de Processamento de Exportação, e 8.256, de 25 de novembro de 1991, que cria áreas de livre comércio nos municípios de Pacaraima e Bonfim, no Estado de Roraima, e dá outras providências.",MPV41808,9,Comissão Medida Provisória,MPV41808,,2026-06-01 00:27:13
100613,https://dadosabertos.camara.leg.br/api/v2/orgaos/100613,MPV41908,"Altera as Leis nos 10.683, de 28 de maio de 2003, e 10.678, de 23 de maio de 2003, transformando o cargo de Secretário Especial de Políticas de Promoção da Igualdade Racial em Ministro de Estado Chefe da Secretaria Especial de Políticas de Promoção da Igualdade Racial.",MPV41908,9,Comissão Medida Provisória,MPV41908,,2026-06-01 00:27:13
100614,https://dadosabertos.camara.leg.br/api/v2/orgaos/100614,MPV42008,"Abre crédito extraordinário, em favor de Encargos Financeiros da União, no valor de R$ 12.500.000.000,00, para o fim que especifica.",MPV42008,9,Comissão Medida Provisória,MPV42008,,2026-06-01 00:27:13
100617,https://dadosabertos.camara.leg.br/api/v2/orgaos/100617,MPV42108,Dispõe sobre o saláriomínimo a partir de 1° de março de 2008,MPV42108,9,Comissão Medida Provisória,MPV42108,,2026-06-01 00:27:13
