uri,nome,codTipo,tipo,ordemAssinatura,proponente,idProposicaoContexto,data_captura
HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/74700,LUIZ ANTONIO FLEURY,10000,DEPUTADO(A),1,True,14666,2026-06-01 07:28:45
HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/74780,IARA BERNARDI,10000,DEPUTADO(A),1,True,104333,2026-06-01 07:28:45
HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/74592,RONALDO VASCONCELLOS,10000,DEPUTADO(A),1,True,108248,2026-06-01 07:28:45
HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/74288,MANINHA,10000,DEPUTADO(A),1,True,111291,2026-06-01 07:28:45
HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/74175,JOSÉ DIVINO,10000,DEPUTADO(A),1,True,112468,2026-06-01 07:28:45
HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/73557,RICARDO IZAR,10000,DEPUTADO(A),1,True,116420,2026-06-01 07:28:45
HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/74810,LUIZ BITTENCOURT,10000,DEPUTADO(A),1,True,119930,2026-06-01 07:28:45
HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/73825,CARLOS NADER,10000,DEPUTADO(A),1,True,130138,2026-06-01 07:28:45
HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/74479,MARCOS DE JESUS,10000,DEPUTADO(A),1,True,130858,2026-06-01 07:28:45
HTTPS://DADOSABERTOS.CAMARA.LEG.BR/API/V2/DEPUTADOS/73921,PASTOR FRANKEMBERGEN,10000,DEPUTADO(A),1,True,134513,2026-06-01 07:28:45
