id,uri,sigla,nome,apelido,codTipoOrgao,tipoOrgao,nomePublicacao,nomeResumido,idEventoContexto,data_captura
537480,https://dadosabertos.camara.leg.br/api/v2/orgaos/537480,CPD,Comissão de Defesa dos Direitos das Pessoas com Deficiência,Defesa dos Direitos das Pessoas com Deficiência,2,Comissão Permanente,Comissão de Defesa dos Direitos das Pessoas com Deficiência,Pessoas com Deficiência,81802,2026-06-03 08:38:48
539386,https://dadosabertos.camara.leg.br/api/v2/orgaos/539386,CICS,"Comissão de Indústria, Comércio e Serviços","Indústria, Comércio e Serviços",2,Comissão Permanente,"Comissão de Indústria, Comércio e Serviços",Indústria e Comércio,81803,2026-06-03 08:38:48
5503,https://dadosabertos.camara.leg.br/api/v2/orgaos/5503,CSPCCO,Comissão de Segurança Pública e Combate ao Crime Organizado,Segurança Pública e Combate ao Crime Organizado,2,Comissão Permanente,Comissão de Segurança Pública e Combate ao Crime Organizado,Segurança Pública,81836,2026-06-03 08:38:48
539822,https://dadosabertos.camara.leg.br/api/v2/orgaos/539822,PL308020,"Comissão Especial destinada a proferir parecer ao Projeto de Lei nº 3080, de 2020, do Senhor Alexandre Frota, que ""Institui a política pública nacional para garantia, proteção e ampliação dos direitos das pessoas com Transtorno do Espectro Autismo, e dá outras providências"", e apensados",PL 3080/20 - Política Nacional para Pessoas com Autismo,3,Comissão Especial,Comissão Especial da Política Nacional para Pessoas com Autismo (PL 3080/20),Autismo,81871,2026-06-03 08:38:48
537236,https://dadosabertos.camara.leg.br/api/v2/orgaos/537236,CESPO,Comissão do Esporte,Esporte,2,Comissão Permanente,Comissão do Esporte,Esportes,81841,2026-06-03 08:38:48
539845,https://dadosabertos.camara.leg.br/api/v2/orgaos/539845,PEC22119,"Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 221, de 2019, do Senhor Reginaldo Lopes, que ""altera o Art. 7º inciso XII da constituição Federal, reduzindo a jornada de trabalho a 36 horas semanais em 10 anos"", e apensada",PEC 221/19 - Redução da Jornada de Trabalho,3,Comissão Especial,Comissão Especial sobre o Fim da Escala 6x1 Vida Digna ao Trabalhador (PEC 221/19),Fim da Escala 6x1,81891,2026-06-03 08:38:48
539847,https://dadosabertos.camara.leg.br/api/v2/orgaos/539847,GTMISOG,"Grupo de Trabalho com a finalidade de discutir o PL 896/2023, que “altera a Lei nº 7.716, de 5 de janeiro de 1989, e o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para dispor sobre crimes praticados em razão de misoginia",GT - Crimes Praticados em Razão de Misoginia,10,Grupo de Trabalho,Grupo de Trabalho sobre Crimes Praticados em Razão de Misoginia,Crime de Misoginia,81894,2026-06-03 08:38:48
180,https://dadosabertos.camara.leg.br/api/v2/orgaos/180,PLEN,Plenário,Plenário,26,Plenário Virtual,Plenário,Plenário,81901,2026-06-03 08:38:48
539784,https://dadosabertos.camara.leg.br/api/v2/orgaos/539784,SUB8J,Subcomissão Especial de Fiscalização e Direitos dos Presos do 8 de Janeiro,CSPCCO - Fiscalização e Direitos dos Presos do 8 de Janeiro,25,Subcomissão,Subcomissão Especial dos Direitos dos Presos do 8 de Janeiro (CSPCCO/SUB8J),Segurança Pública,81912,2026-06-03 08:38:48
539388,https://dadosabertos.camara.leg.br/api/v2/orgaos/539388,CASP,Comissão de Administração e Serviço Público,Administração e Serviço Público,2,Comissão Permanente,Comissão de Administração e Serviço Público,Serviço Público,81915,2026-06-03 08:38:48
