id,uri,dataHoraInicio,dataHoraFim,situacao,descricaoTipo,descricao,localExterno,orgaos,urlRegistro,localCamara.nome,localCamara.predio,localCamara.sala,localCamara.andar,data_captura
82219,https://dadosabertos.camara.leg.br/api/v2/eventos/82219,2026-05-27 10:00:00,,Cancelada,Reunião Deliberativa,Discussão e votação de prospostas legislativas,,"[{""id"": 2015, ""uri"": ""https://dadosabertos.camara.leg.br/api/v2/orgaos/2015"", ""sigla"": ""CTRAB"", ""nome"": ""Comissão de Trabalho"", ""apelido"": ""Trabalho"", ""codTipoOrgao"": 2, ""tipoOrgao"": ""Comissão Permanente"", ""nomePublicacao"": ""Comissão de Trabalho"", ""nomeResumido"": ""Trabalho""}]",,"Anexo II, Plenário 12",,,,2026-06-03 08:38:45
81414,https://dadosabertos.camara.leg.br/api/v2/eventos/81414,2026-05-05 14:32:00,2026-05-05 16:59:00,Encerrada (Final),Audiência Pública,"Práticas abusivas de concessionárias de água e esgoto contra hotéis e pousadas 
 REQ 7/2026 CDC Dep. Paulo Pimenta; e
REQ 11/2026 CDC, Dep. Carlos Sampaio

CONVIDADOS

Mauro Cruzeiro - CONFIRMADO PRESENCIAL
Coordenador-Geral de Consultoria Técnica e Sanções Administrativas da Secretário Nacional do Consumidor do Ministério da Justiça - Senacon;

Cristiane Collet Battiston  - CONFIRMADO PRESENCIAL
Diretora da Agência Nacional de Águas e Saneamento Básico - ANA;

Cesar Faccioli - CONFIRMADO PRESENCIAL
Diretor de Relações Institucionais da CORSAN -  Aegea Saneamento e Participacoes S.A.;

Lucas Salomón da Silva Fuhr - CONFIRMADO REMOTO
Conselheiro-Presidente Substituto da Agencia Estadual de Regulacao dos Servicos Publicos Delegados do Rio Grande do Sul - Agergs;

Matheus Junges - CONFIRMADO PRESENCIAL
Presidente da Associacao Gaucha dos Consumidores de Agua, Esgoto e Energia;

Ivone Ferraz Teixeira - CONFIRMADA PRESENCIAL
Presidente do Sindicato dos Hotéis, Restaurantes, Bares e Similares do Litoral Norte e Região de Osório/RS - SHRBS-LN,  representando a Confederação Nacional do Comércio de Bens, Serviços e Turismo - CNC

Felipe Cascaes Sabin Bresciani - CONFIRMADO PRESENCIAL
Diretor Jurídico e Legislativo da Associação Brasileira das Empresas de Saneamento ABCON SINDCON",,"[{""id"": 2004, ""uri"": ""https://dadosabertos.camara.leg.br/api/v2/orgaos/2004"", ""sigla"": ""CDC"", ""nome"": ""Comissão de Defesa do Consumidor"", ""apelido"": ""Defesa do Consumidor"", ""codTipoOrgao"": 2, ""tipoOrgao"": ""Comissão Permanente"", ""nomePublicacao"": ""Comissão de Defesa do Consumidor"", ""nomeResumido"": ""Consumidor""}]",https://www.youtube.com/watch?v=-am3vhiRLfE,"Anexo II, Plenário 10",,,,2026-06-03 08:38:45
81662,https://dadosabertos.camara.leg.br/api/v2/eventos/81662,2026-05-05 14:09:00,2026-05-05 16:46:00,Encerrada (Final),Audiência Pública e Deliberação,"Discussão e votação de propostas legislativas e audiência pública sobre os impactos do uso do mercúrio
 REQ nº 6/2026, de autoria da Deputada Dilvanda Faro.

Convidados:

ANDRÉ LUIZ PORRECA FERREIRA CUNHA - presença confirmada
Procuradoria da República no Estado do Amazonas - Ministério Público Federal - MPF

EDUARDO SIDNEY SERRA FILHO - presença confirmada
GT ""Trabalho Decente na Mineração"" e Fórum Paraense de Combate aos Impactos da Contaminação Mercurial na Bacia do Tapajós - Ministério Público do Trabalho - MPT

PAULO CESAR BASTA - presença confirmada
Fundação Oswaldo Cruz - Fiocruz

KLEBER KARIPUNA  - presença confirmada
Articulação dos Povos Indígenas do Brasil - APIB

MAIAL PAIAKAN KAIAPÓ - presença confirmada
Aliança em Defesa dos Territórios

DÉCIO YOKOTA - presença confirmada
Instituto de Pesquisa e Formação Indígena - IEPÉ

RODRIGO AGRA BALBUENO - presença confirmada
WWF Brasil

ESTÊVÃO BENFICA SENRA  - presença confirmada
Instituto Socioambiental - ISA

MARCEL GOMES - presença confirmada
Repórter Brasil

GABRIELA DE PAULA - presença confirmada
Universidade Federal do Pará",,"[{""id"": 539384, ""uri"": ""https://dadosabertos.camara.leg.br/api/v2/orgaos/539384"", ""sigla"": ""CPOVOS"", ""nome"": ""Comissão da Amazônia e dos Povos Originários e Tradicionais"", ""apelido"": ""Amazônia e dos Povos Originários e Tradicionais"", ""codTipoOrgao"": 2, ""tipoOrgao"": ""Comissão Permanente"", ""nomePublicacao"": ""Comissão da Amazônia e dos Povos Originários e Tradicionais"", ""nomeResumido"": ""Amazônia""}]",https://www.youtube.com/watch?v=FkXKvNP0ibg,"Anexo II, Plenário 12",,,,2026-06-03 08:38:45
81666,https://dadosabertos.camara.leg.br/api/v2/eventos/81666,2026-05-05 14:16:00,2026-05-05 16:32:00,Encerrada (Final),Audiência Pública,"Projeto de Lei nº 1.559, de 2021, que dispõe sobre o piso salarial do profissional farmacêutico 
 Convidados:

1) Walter da Silva Jorge João, Presidente do Conselho Federal de Farmácia - CFF (confirmado)

2) Fábio Basílio, Presidente da Federação Nacional dos Farmacêuticos - Fenafar (confirmado)

3) Laura Schertel, consultora da Associação Brasileira de Redes de Farmácias e Drogarias - Abrafarma (confirmada)

4) Marcelo Fernandes de Queiroz, Coordenador da Câmara Brasileira de Produtos Farmacêuticos da Confederação Nacional do Comércio - CNC (confirmado)

5) Midya Souza, Analista técnica em saúde da Confederação Nacional dos Municípios - CNM (confirmada)

6) Rafael Oliveira Espinhel, Presidente  da Associação Brasileira do Comércio Farmacêutico - ABCFarma (confirmado)

7) Associação Nacional de Farmacêuticos Magistrais - Anfarmag

8) Livia Angeli Silva, Coordenadora-Geral de Políticas Remuneratórias e Planejamento da Força de Trabalho na Saúde do Ministério da Saúde (confirmada)


(REQ 6/2026 CFT, do deputado Hildo Rocha; REQ 7/2026 CFT, da deputada Laura Carneiro)",,"[{""id"": 2010, ""uri"": ""https://dadosabertos.camara.leg.br/api/v2/orgaos/2010"", ""sigla"": ""CFT"", ""nome"": ""Comissão de Finanças e Tributação"", ""apelido"": ""Finanças e Tributação"", ""codTipoOrgao"": 2, ""tipoOrgao"": ""Comissão Permanente"", ""nomePublicacao"": ""Comissão de Finanças e Tributação"", ""nomeResumido"": ""Finanças e Tributação""}]",https://www.youtube.com/watch?v=z3fXZ1pb1Yg,"Anexo II, Plenário 04",,,,2026-06-03 08:38:45
81763,https://dadosabertos.camara.leg.br/api/v2/eventos/81763,2026-05-05 10:42:00,2026-05-05 12:29:00,Encerrada,Audiência Pública,"Debater 
o Plano de Carreira, Cargos e 
Salários do Hospital das Forças
 Armadas: panorama atual e
perspectivas de recomposição
 Req. 14/2026 - Dep. Reginaldo Veras

1) ADRIANA MARIA DA CONCEIÇÃO (Confirmada)
   Auxiliar de Enfermagem do HFA e Representante
   Sindicato dos Servidores Públicos Federais no Df - SINDSEP-DF

2) ESTHER DWECK (a Confirmar)
   Ministra
   Ministério de Gestão e Inovação

3) EVANDRO FRANCISCO FAULIN (Confirmado)
   Especialista
   Hospital das Força Armadas - HFA

4) FÁBIO FELIPE SILVA (Confirmado)
   Chefe da Divisão de Recursos Humanos
   Hospital das Força Armadas - HFA

5) FERNANDA VILELA DE MELO (Confirmada)
   Empregada Pública
   Hospital das Força Armadas

6) HUGO JOSÉ BASTOS PINHEIRO (Confirmado)
   Técnico em Atividades Hospitalares
   Hospital das Força Armadas - HFA

7) ILDO LOURENÇO (Confirmado)
   Empregado Público
   Hospital das Força Armadas - HFA",,"[{""id"": 539388, ""uri"": ""https://dadosabertos.camara.leg.br/api/v2/orgaos/539388"", ""sigla"": ""CASP"", ""nome"": ""Comissão de Administração e Serviço Público"", ""apelido"": ""Administração e Serviço Público"", ""codTipoOrgao"": 2, ""tipoOrgao"": ""Comissão Permanente"", ""nomePublicacao"": ""Comissão de Administração e Serviço Público"", ""nomeResumido"": ""Serviço Público""}]",https://www.youtube.com/watch?v=rmYyynVThj0,"Anexo II, Plenário 02",,,,2026-06-03 08:38:45
81848,https://dadosabertos.camara.leg.br/api/v2/eventos/81848,2026-05-06 11:03:00,2026-05-06 11:37:00,Encerrada (Final),Reunião Deliberativa,Discussão e votação de propostas legislativas,,"[{""id"": 2012, ""uri"": ""https://dadosabertos.camara.leg.br/api/v2/orgaos/2012"", ""sigla"": ""CME"", ""nome"": ""Comissão de Minas e Energia"", ""apelido"": ""Minas e Energia"", ""codTipoOrgao"": 2, ""tipoOrgao"": ""Comissão Permanente"", ""nomePublicacao"": ""Comissão de Minas e Energia"", ""nomeResumido"": ""Minas e Energia""}]",https://www.youtube.com/watch?v=A1xmJEBlKR8,"Anexo II, Plenário 14",,,,2026-06-03 08:38:45
81799,https://dadosabertos.camara.leg.br/api/v2/eventos/81799,2026-05-05 10:46:00,2026-05-05 12:30:00,Encerrada (Final),Audiência Pública,"Restrição de publicidade para as bebidas alcoólicas
 Requerimento n. 36/2026

Autora: Dep. Erika Kokay

Convidados:

Mayara Santos - Coordenadora-Geral de Prevenção da Secretária Nacional de Políticas sobre Drogas e Gestão de Ativos do Ministério da Justiça; 


Letícia de Oliveira Cardoso - Diretora do Departamento de Análise Epidemiológica e Vigilância de Doenças Não Transmissíveis do Ministério da Saúde;

 
Laura Cury - Coordenadora do Projeto do Álcool da ACT Promoção da Saúde;


Luciana Sardinha - Gerente de DCNT da Vital Strategies; 

 
Vera Luiza da Costa e Silva - Secretária-Executiva da Comissão Nacional para Implementação da Convenção-Quadro sobre Controle do Uso do Tabaco (Conicq);


Socorro Gross Cristian Morales - Representante da OPAS no Brasil; 


Grazi Santoro - Presidente da Associação Alcoolismo Feminino.",,"[{""id"": 2007, ""uri"": ""https://dadosabertos.camara.leg.br/api/v2/orgaos/2007"", ""sigla"": ""CDHMIR"", ""nome"": ""Comissão de Direitos Humanos, Minorias e Igualdade Racial"", ""apelido"": ""Direitos Humanos, Minorias e Igualdade Racial"", ""codTipoOrgao"": 2, ""tipoOrgao"": ""Comissão Permanente"", ""nomePublicacao"": ""Comissão de Direitos Humanos, Minorias e Igualdade Racial"", ""nomeResumido"": ""Direitos Humanos""}]",https://www.youtube.com/watch?v=o3qVms4QGUs,"Anexo II, Plenário 12",,,,2026-06-03 08:38:45
81802,https://dadosabertos.camara.leg.br/api/v2/eventos/81802,2026-05-05 13:09:00,2026-05-05 13:23:00,Encerrada (Final),Reunião Deliberativa,Discussão e votação de propostas legislativas,,"[{""id"": 537480, ""uri"": ""https://dadosabertos.camara.leg.br/api/v2/orgaos/537480"", ""sigla"": ""CPD"", ""nome"": ""Comissão de Defesa dos Direitos das Pessoas com Deficiência"", ""apelido"": ""Defesa dos Direitos das Pessoas com Deficiência"", ""codTipoOrgao"": 2, ""tipoOrgao"": ""Comissão Permanente"", ""nomePublicacao"": ""Comissão de Defesa dos Direitos das Pessoas com Deficiência"", ""nomeResumido"": ""Pessoas com Deficiência""}]",https://www.youtube.com/watch?v=pOJf-Opkwxk,"Anexo II, Plenário 13",,,,2026-06-03 08:38:45
81803,https://dadosabertos.camara.leg.br/api/v2/eventos/81803,2026-05-05 15:19:00,2026-05-05 15:38:00,Encerrada,Reunião Deliberativa,Discussão e votação de propostas legislativas,,"[{""id"": 539386, ""uri"": ""https://dadosabertos.camara.leg.br/api/v2/orgaos/539386"", ""sigla"": ""CICS"", ""nome"": ""Comissão de Indústria, Comércio e Serviços"", ""apelido"": ""Indústria, Comércio e Serviços"", ""codTipoOrgao"": 2, ""tipoOrgao"": ""Comissão Permanente"", ""nomePublicacao"": ""Comissão de Indústria, Comércio e Serviços"", ""nomeResumido"": ""Indústria e Comércio""}]",https://www.youtube.com/watch?v=KnMW5Y1dO4M,"Anexo II, Plenário 05",,,,2026-06-03 08:38:45
81836,https://dadosabertos.camara.leg.br/api/v2/eventos/81836,2026-05-05 14:52:00,2026-05-05 16:35:00,Encerrada (Final),Reunião Deliberativa,Discussão e votação de propostas legislativas,,"[{""id"": 5503, ""uri"": ""https://dadosabertos.camara.leg.br/api/v2/orgaos/5503"", ""sigla"": ""CSPCCO"", ""nome"": ""Comissão de Segurança Pública e Combate ao Crime Organizado"", ""apelido"": ""Segurança Pública e Combate ao Crime Organizado"", ""codTipoOrgao"": 2, ""tipoOrgao"": ""Comissão Permanente"", ""nomePublicacao"": ""Comissão de Segurança Pública e Combate ao Crime Organizado"", ""nomeResumido"": ""Segurança Pública""}]",https://www.youtube.com/watch?v=vmt6Z2fSOe8,"Anexo II, Plenário 06",,,,2026-06-03 08:38:45
